count,name,query,total_count,year
78.0,IDL,IDL,191732.0,1995
82.0,IDL,IDL,205494.0,1996
86.0,IDL,IDL,210208.0,1997
98.0,IDL,IDL,217973.0,1998
108.0,IDL,IDL,219498.0,1999
148.0,IDL,IDL,225191.0,2000
147.0,IDL,IDL,242479.0,2001
195.0,IDL,IDL,257083.0,2002
236.0,IDL,IDL,275462.0,2003
278.0,IDL,IDL,285255.0,2004
324.0,IDL,IDL,304734.0,2005
381.0,IDL,IDL,325790.0,2006
416.0,IDL,IDL,342183.0,2007
472.0,IDL,IDL,371127.0,2008
548.0,IDL,IDL,414129.0,2009
634.0,IDL,IDL,421263.0,2010
671.0,IDL,IDL,424526.0,2011
695.0,IDL,IDL,470940.0,2012
661.0,IDL,IDL,469123.0,2013
603.0,IDL,IDL,464741.0,2014
622.0,IDL,IDL,473676.0,2015
592.0,IDL,IDL,503158.0,2016
409.02010050251255,IDL,IDL,439823.16582914576,2017
19.0,Python,Python,191732.0,1995
13.0,Python,Python,205494.0,1996
11.0,Python,Python,210208.0,1997
13.0,Python,Python,217973.0,1998
23.0,Python,Python,219498.0,1999
21.0,Python,Python,225191.0,2000
10.0,Python,Python,242479.0,2001
13.0,Python,Python,257083.0,2002
16.0,Python,Python,275462.0,2003
8.0,Python,Python,285255.0,2004
21.0,Python,Python,304734.0,2005
28.0,Python,Python,325790.0,2006
39.0,Python,Python,342183.0,2007
52.0,Python,Python,371127.0,2008
63.0,Python,Python,414129.0,2009
88.0,Python,Python,421263.0,2010
125.0,Python,Python,424526.0,2011
230.0,Python,Python,470940.0,2012
300.0,Python,Python,469123.0,2013
408.0,Python,Python,464741.0,2014
604.0,Python,Python,473676.0,2015
816.0,Python,Python,503158.0,2016
935.427135678392,Python,Python,439823.16582914576,2017
5.0,Matlab,MATLAB,191732.0,1995
5.0,Matlab,MATLAB,205494.0,1996
9.0,Matlab,MATLAB,210208.0,1997
6.0,Matlab,MATLAB,217973.0,1998
15.0,Matlab,MATLAB,219498.0,1999
16.0,Matlab,MATLAB,225191.0,2000
12.0,Matlab,MATLAB,242479.0,2001
25.0,Matlab,MATLAB,257083.0,2002
32.0,Matlab,MATLAB,275462.0,2003
38.0,Matlab,MATLAB,285255.0,2004
38.0,Matlab,MATLAB,304734.0,2005
60.0,Matlab,MATLAB,325790.0,2006
72.0,Matlab,MATLAB,342183.0,2007
68.0,Matlab,MATLAB,371127.0,2008
91.0,Matlab,MATLAB,414129.0,2009
124.0,Matlab,MATLAB,421263.0,2010
124.0,Matlab,MATLAB,424526.0,2011
145.0,Matlab,MATLAB,470940.0,2012
146.0,Matlab,MATLAB,469123.0,2013
181.0,Matlab,MATLAB,464741.0,2014
182.0,Matlab,MATLAB,473676.0,2015
191.0,Matlab,MATLAB,503158.0,2016
104.54773869346734,Matlab,MATLAB,439823.16582914576,2017
7.0,Matlab,Matlab,191732.0,1995
6.0,Matlab,Matlab,205494.0,1996
16.0,Matlab,Matlab,210208.0,1997
19.0,Matlab,Matlab,217973.0,1998
21.0,Matlab,Matlab,219498.0,1999
24.0,Matlab,Matlab,225191.0,2000
32.0,Matlab,Matlab,242479.0,2001
49.0,Matlab,Matlab,257083.0,2002
58.0,Matlab,Matlab,275462.0,2003
72.0,Matlab,Matlab,285255.0,2004
81.0,Matlab,Matlab,304734.0,2005
113.0,Matlab,Matlab,325790.0,2006
152.0,Matlab,Matlab,342183.0,2007
140.0,Matlab,Matlab,371127.0,2008
186.0,Matlab,Matlab,414129.0,2009
234.0,Matlab,Matlab,421263.0,2010
252.0,Matlab,Matlab,424526.0,2011
280.0,Matlab,Matlab,470940.0,2012
277.0,Matlab,Matlab,469123.0,2013
351.0,Matlab,Matlab,464741.0,2014
353.0,Matlab,Matlab,473676.0,2015
345.0,Matlab,Matlab,503158.0,2016
196.25628140703517,Matlab,Matlab,439823.16582914576,2017
176.0,Fortran,Fortran,191732.0,1995
190.0,Fortran,Fortran,205494.0,1996
187.0,Fortran,Fortran,210208.0,1997
156.0,Fortran,Fortran,217973.0,1998
191.0,Fortran,Fortran,219498.0,1999
218.0,Fortran,Fortran,225191.0,2000
236.0,Fortran,Fortran,242479.0,2001
189.0,Fortran,Fortran,257083.0,2002
209.0,Fortran,Fortran,275462.0,2003
224.0,Fortran,Fortran,285255.0,2004
217.0,Fortran,Fortran,304734.0,2005
242.0,Fortran,Fortran,325790.0,2006
271.0,Fortran,Fortran,342183.0,2007
245.0,Fortran,Fortran,371127.0,2008
208.0,Fortran,Fortran,414129.0,2009
300.0,Fortran,Fortran,421263.0,2010
333.0,Fortran,Fortran,424526.0,2011
